text,text_clean,label_primary,label_final
"Товар так и не пришел. Заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. Открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.","товар так и не пришел. заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.",нет товара,нет товара
ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,одежда,одежда
"Это вторая, обе S, но разница видна. И пришлось взять в руки иголку, так как были косяки. Но они очень удобны и комфортные для работы.","это вторая, обе s, но разница видна. и пришлось взять в руки иголку, так как были косяки. но они очень удобны и комфортные для работы.",одежда,одежда
"Доставка 2 месяца до Смоленска. Ткань голая синтетика. Пуговицы еле держатся. На параметры ОГ 91, ОТ 68, плечи 40 размер М в самый раз.","доставка 2 месяца до смоленска. ткань голая синтетика. пуговицы еле держатся. на параметры ог 91, от 68, плечи 40 размер м в самый раз.",нет товара,бытовая техника
"заказала размер L,чтобы было свободно(сама ношу S).По факту штаны на наш размер S,очень тугая резинка, кофта на наш размер M.Про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика(","заказала размер l,чтобы было свободно сама ношу s .по факту штаны на наш размер s,очень тугая резинка, кофта на наш размер m.про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика ",одежда,одежда
"Отличные штаны,  очень тёплые. Доставка 3 недели. На объем бедер 104 см отлично подошёл размер XXL .","отличные штаны, очень тёплые. доставка 3 недели. на объем бедер 104 см отлично подошёл размер xxl .",одежда,одежда
"Цвет черный а не темно синий , обидно. Шапка хорошая.","цвет черный а не темно синий , обидно. шапка хорошая.",украшения и аксессуары,одежда
блузка очень хорошего качества. доставка меньше месяца. всем довольна.,блузка очень хорошего качества. доставка меньше месяца. всем довольна.,одежда,одежда
"Качество ткани хорошее.В блузке есть 1 большой минус не симетричны сделаны складки .Должны быть по центру ,а они с боку т.е.брак.Продовец по общению хороший.По размеру идеально.","качество ткани хорошее.в блузке есть 1 большой минус не симетричны сделаны складки .должны быть по центру ,а они с боку т.е.брак.продовец по общению хороший.по размеру идеально.",одежда,одежда
"Я думала, что свитер будет более толстым , а на самом деле он тонкий. Свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . Продавец положил подарочек и ароматизаторы с запахом роз","я думала, что свитер будет более толстым , а на самом деле он тонкий. свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . продавец положил подарочек и ароматизаторы с запахом роз",одежда,одежда
"ткань очень тонкая,платье смотрится совсем по-другому","ткань очень тонкая,платье смотрится совсем по-другому",одежда,одежда
"На 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый","на 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый",одежда,одежда
заказ не пришёл! Деньги не вернули,заказ не пришёл! деньги не вернули,нет товара,украшения и аксессуары
"Футболка классная! Маловата немного, берите на размер больше! Шла около месяца ","футболка классная! маловата немного, берите на размер больше! шла около месяца",одежда,одежда
"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.","понравилось,чуток в длину великовата  рост 155  цвет крутой, очень модный в этом сезоне.",одежда,одежда
"красивый только цвет. фактура тон
кая, хоть и мягкая, и тёплая. фурнитура дешевая: шнурок, бегунок молнии. качество швов  ужасное, на самом видном месте торчат нитки","красивый только цвет. фактура тон кая, хоть и мягкая, и тёплая. фурнитура дешевая  шнурок, бегунок молнии. качество швов ужасное, на самом видном месте торчат нитки",одежда,одежда
"заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней","заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней",одежда,одежда
"Прекрасная туника. Качество на высшем уровне,продавец очень общительный.Идет размер в размер. Я довольна покупкой,советую и товар и этого продавца","прекрасная туника. качество на высшем уровне,продавец очень общительный.идет размер в размер. я довольна покупкой,советую и товар и этого продавца",одежда,одежда
"Юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно","юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно",одежда,одежда
видела бы в магазине - не купила бы... качество отстой,видела бы в магазине - не купила бы... качество отстой,одежда,одежда
Слишком тонкие ,слишком тонкие,одежда,одежда
отличное качество товаров,отличное качество товаров,одежда,одежда
"Просвечивает и короткая, хотя на фото она не такая прозрачная","просвечивает и короткая, хотя на фото она не такая прозрачная",одежда,одежда
"Плохо прошиты швы, в этих местах материал собирается","плохо прошиты швы, в этих местах материал собирается",одежда,одежда
"Тёплые, цвет соответствует картинке. По размеру подошли. Всё отлично.","тёплые, цвет соответствует картинке. по размеру подошли. всё отлично.",одежда,одежда
"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала М(мой рост 168, об 87) у кого ножки длинные можно L заказать","заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала м мой рост 168, об 87  у кого ножки длинные можно l заказать",посуда,электроника
"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.","пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.",одежда,одежда
джинсы пришли с пятнами,джинсы пришли с пятнами,одежда,одежда
"ткань довольно тонкая, но я брала для косплея, так что норм. размер S на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато","ткань довольно тонкая, но я брала для косплея, так что норм. размер s на мои 91-66-97 довольно свободно висит, на рост  170 по длине великовато",одежда,одежда
"была маленькая дырочка, и полноразмерная","была маленькая дырочка, и полноразмерная",одежда,одежда
"материал плохой, просвечает и одна сентетика","материал плохой, просвечает и одна сентетика",одежда,одежда
все супер! доставка месяц) спасибо продавцу)),все супер! доставка месяц  спасибо продавцу  ,нет товара,украшения и аксессуары
"Очень милая и приятная на ощупь, пришла очень быстро","очень милая и приятная на ощупь, пришла очень быстро",одежда,одежда
"Качество нормальное. Но сильно маломерят. Заказала М, а она в лучшем случае ХS. ","качество нормальное. но сильно маломерят. заказала м, а она в лучшем случае хs.",нет товара,нет товара
"Очень милые носочки, качество не плохое","очень милые носочки, качество не плохое",украшения и аксессуары,одежда
"мало того, что заказ отправили не туда. так еще и деньги не возвращают","мало того, что заказ отправили не туда. так еще и деньги не возвращают",нет товара,украшения и аксессуары
"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились.","заказ шел 2 недели. думала, что качество будет получше, да еще и дырка на штанах. вообщем не очень понравились.",нет товара,электроника
не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара,нет товара
"Заказывала М на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное","заказывала м на 165 рос 60 кг, но было мол мерка не влезла. качество отличное",нет товара,нет товара
Самый долгий заказ на Алиэкспресс.,самый долгий заказ на алиэкспресс.,нет товара,украшения и аксессуары
платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,одежда,одежда
Трусы не пришли,трусы не пришли,одежда,одежда
"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный","много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный",одежда,одежда
Супер-пупер! Пришло за 17 дней по бесплатной доставке !!! Очень понравилось как смотрится ,супер-пупер! пришло за 17 дней по бесплатной доставке !!! очень понравилось как смотрится,одежда,одежда
"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.","это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.",одежда,одежда
"Ткань тонкая, размер L идёт на М ","ткань тонкая, размер l идёт на м",одежда,одежда
"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!","платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда,одежда
"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.","колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.",одежда,одежда
"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне.","качество не очень понравилось, синтетика и тонкая очень. и с размером не угадала- большая мне.",одежда,одежда
"товар пришел быстро. но без толку.
 вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!
убожество!!!","товар пришел быстро. но без толку. вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены! убожество!!!",одежда,одежда
"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ.","так ,что то не очень.одно радует рукова нормальные.а вот длина убки выше колен,а не до колена.и мне кажется, оно поленяет после стирки.",одежда,одежда
Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),прекрасное платье за свою цену! на рост 168 и 44 р-о м-ка села идеально.длина оказалась до пола.из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться   ,одежда,одежда
Качество ужас...,качество ужас...,одежда,одежда
"терпеливо ждала 4 месяца, но ничего так и не пришло","терпеливо ждала 4 месяца, но ничего так и не пришло",одежда,одежда
"на 48 размер,  объем груди 96см., xxxl велико.","на 48 размер, объем груди 96см., xxxl велико.",одежда,одежда
"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!","заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых шапок !!!",нет товара,нет товара
Все хорошо но она просвечиваеться более летний вариант,все хорошо но она просвечиваеться более летний вариант,одежда,одежда
"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11","очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда,одежда
Пришло с браком,пришло с браком,одежда,одежда
"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный. ","шло в москву очень долго, доставка хреновая. открыла спор, вроде деньги вернули. но долго продлевали защиту несколько раз. лучше не продлевайте - нет смысла ждать. продавец вроде общительный.",нет товара,нет товара
"Красивый бордовый цвет, хорошая форма.Даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. Доставка- недели две до Мск.Очень довольна!Рекомендую.","красивый бордовый цвет, хорошая форма.даже на моих маленьких параметрах груди смотрится хорошо  79-62-92 ,достаточно свободна. доставка- недели две до мск.очень довольна!рекомендую.",нет товара,украшения и аксессуары
"качество хорошее, швы ровные, приятная ткань, не синтетика","качество хорошее, швы ровные, приятная ткань, не синтетика",одежда,одежда
С размером ошиблась. На российский 50 52 точно меньше надо брать чем 5 xl. Немного мешковато сел. А так вещь понравилась,с размером ошиблась. на российский 50 52 точно меньше надо брать чем 5 xl. немного мешковато сел. а так вещь понравилась,обувь,одежда
товар не пришел. и не отслеживался. деньги не вернули.,товар не пришел. и не отслеживался. деньги не вернули.,нет товара,нет товара
"Качество отличное ,доставка до Башкирии 3 недели","качество отличное ,доставка до башкирии 3 недели",нет товара,товары для детей
"Прекрасные шорты! Отличное качество, сидят хорошо, быстрая доставка. Взяла s сели отлично не маломерят. Спасибо ! ","прекрасные шорты! отличное качество, сидят хорошо, быстрая доставка. взяла s сели отлично не маломерят. спасибо !",одежда,одежда
"Брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. Очень разочарована этим обманом. Заказывать у этого продавца больше не буду.","брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. очень разочарована этим обманом. заказывать у этого продавца больше не буду.",одежда,одежда
"Цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. В остальном все устраивает ","цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. в остальном все устраивает",одежда,одежда
все подошло . ткань не очень.,все подошло . ткань не очень.,одежда,одежда
"Платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на А
ли можно купить вещь лучше.","платье огромного размера, пошив не фабричный, нет никаких лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на а ли можно купить вещь лучше.",одежда,одежда
"Всем рекомендую,классный свитер","всем рекомендую,классный свитер",одежда,одежда
Отличная удобная кофточка,отличная удобная кофточка,одежда,одежда
"Х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна.","х б носочки,хорошее качество,пришли вовремя,дочь очень довольна.",украшения и аксессуары,товары для детей
"Ожидала другого от этого платья ,материал очень тонкий .Осталась не довольна покупкой .","ожидала другого от этого платья ,материал очень тонкий .осталась не довольна покупкой .",одежда,одежда
Очень маленькая. Размерная таблица не соответствует действительности. На ОГ 86см брала М.,очень маленькая. размерная таблица не соответствует действительности. на ог 86см брала м.,одежда,одежда
"Заказываю во второй раз. Качество так же на высоте, размер M подходит на бедра 93 см. Кружево тонкое и швы под одеждой не заметны. Спасибо большое!","заказываю во второй раз. качество так же на высоте, размер m подходит на бедра 93 см. кружево тонкое и швы под одеждой не заметны. спасибо большое!",нет товара,электроника
Продавец прислал не тот свитер!! Я очень расстроена!!!,продавец прислал не тот свитер!! я очень расстроена!!!,одежда,одежда
Плохое качества это платье даже 300 руб не стоит (((,плохое качества это платье даже 300 руб не стоит    ,одежда,одежда
"Долго ждала посылку. Оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе ","долго ждала посылку. оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе",одежда,одежда
Жутко просвечивает. И вверх  и низ. Заказывала розовое. Фатин желтый. Я разочарована. Носить не буду.,жутко просвечивает. и вверх и низ. заказывала розовое. фатин желтый. я разочарована. носить не буду.,нет товара,нет товара
"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл ","товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. вес 54 кг- размер м подошёл",одежда,одежда
"рисунок на вещи не совпадает, рукава широкие","рисунок на вещи не совпадает, рукава широкие",одежда,одежда
"Доставили очень быстро.  Качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. На размер 46-48 взяла XL, подошёл. Рукава нормальные, не короткие. Очень теплый свитер.","доставили очень быстро. качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. на размер 46-48 взяла xl, подошёл. рукава нормальные, не короткие. очень теплый свитер.",одежда,одежда
"Синтетика сплошная, мало, брала размер L на рост 158, грудь 90, талия 70, бедра 98. Обтянуто как любительскую колбасу. Жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...","синтетика сплошная, мало, брала размер l на рост 158, грудь 90, талия 70, бедра 98. обтянуто как любительскую колбасу. жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...",нет товара,нет товара
"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...","доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...",одежда,одежда
заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,нет товара,нет товара
"Топ короткий. Очень короткий. Почитала отзывы, специально взяла на размер больше, но напрасно. Так что имейте в виду.","топ короткий. очень короткий. почитала отзывы, специально взяла на размер больше, но напрасно. так что имейте в виду.",одежда,одежда
"туника пришла без размерная, рукава короткие с ужасным запахом","туника пришла без размерная, рукава короткие с ужасным запахом",одежда,одежда
"Не пришли,спор длился недели 2-3..","не пришли,спор длился недели 2-3..",нет товара,украшения и аксессуары
"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально.","платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. в принципе, платье бомба. удовлетворил и размер и материал. но цвет не то, что на картинке. печально.",одежда,одежда
"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!","хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60 хотелось бы на размер больше!",одежда,одежда
"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.","товар не пришел. деньги вернули. но продавец хороший и милый. просто, может быть, мне не повезло.",нет товара,товары для детей
"Товар так и не пришёл. Вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. За опарвшей отдельное спасибо.","товар так и не пришёл. вместо блузки прислали резиновых опарышей  !!!  ржали долго  правда продавец обещал отправить другим заказом, но пока глухо. за опарвшей отдельное спасибо.",нет товара,нет товара
"Трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.","трусы не плохие ,но две шт. из пяти не соответствуют заказанным  замена расцветки на худшию ,одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.",одежда,одежда
Не по размеру и плохо пошито,не по размеру и плохо пошито,одежда,одежда
"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен","на мой рост 157см не подошел,слишком короткие.сшито очень плохо.лосины не стоят таких цен",одежда,одежда
"До Хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер XXL   на рос.50","до хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер xxl на рос.50",одежда,одежда
"Отличные трусики , буду заказывать еще. На размер 46 брала XL. Доставка быстрая, трек отслеживался.","отличные трусики , буду заказывать еще. на размер 46 брала xl. доставка быстрая, трек отслеживался.",нет товара,украшения и аксессуары
Спасибо все подошло,спасибо все подошло,одежда,одежда
наверно хорошие а так не получили,наверно хорошие а так не получили,одежда,одежда
качество на троечку,качество на троечку,одежда,одежда
Жаль，товар так и не получила.Открыла спор，вернули деньги.Потерялся наверное на просторах нашей страны.,жаль товар так и не получила.открыла спор вернули деньги.потерялся наверное на просторах нашей страны.,нет товара,нет товара
"Заказ шел 2 месяца. Размер подошел (мой 46-48 заказала XL). Верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. Нижние карманы маленькие.","заказ шел 2 месяца. размер подошел  мой 46-48 заказала xl . верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. нижние карманы маленькие.",нет товара,электроника
хорошая теплая кофта. все как в описании,хорошая теплая кофта. все как в описании,одежда,одежда
"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте","не стоит заплаченных денег    ткань плохая, полоска чёрная на самом видном месте",одежда,одежда
мало( xxxl подошел только на 42 размер(,мало  xxxl подошел только на 42 размер ,одежда,одежда
